rank,id,name,year,imdb_votes,imdb_rating,certificate,duration,genre,cast_id,cast_name,director_id,director_name,writter_name,writter_id,img_link
24,tt0120815,Saving Private Ryan,1998,1354311,8.6,A,169,"Drama,War","nm0000158,nm0000354,nm0001744,nm0122653,nm0001608,nm0004965,nm0004874,nm0000610,nm0001111,nm0001101,nm0316079,nm0001199,nm0821152,nm0242882,nm0116465,nm0148738,nm0330983,nm0692139","Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg,Vin Diesel,Giovanni Ribisi,Jeremy Davies,Ted Danson,Paul Giamatti,Dennis Farina,Joerg Stadler,Max Martini,Dylan Bruno,Daniel Cerqueira,Demetri Goritsas,Ian Porter",nm0000229,Steven Spielberg,Robert Rodat,nm0734441,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY562_CR1
25,tt0118799,La vita è bella,1997,679573,8.6,U,116,"Comedy,Drama,Romance","nm0000905,nm0000971,nm0134493,nm0243842,nm0082979,nm0004650,nm0001976,nm0019145,nm0518057,nm0284997,nm0211599,nm0350147,nm0495476,nm0019142,nm0056391,nm0080641,nm0092104,nm0120717","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Marisa Paredes,Horst Buchholz,Lidia Alfonsi,Giuliana Lojodice,Amerigo Fontani,Pietro De Silva,Francesco Guzzo,Raffaella Lebboroni,Claudio Alfonsi,Gil Baroni,Massimo Bianchi,Jürgen Bohn,Verena Buratti",nm0000905,Roberto Benigni,"Vincenzo Cerami,Roberto Benigni","nm0148437,nm0000905",https://m.media-amazon.com/images/M/MV5BMzliYTRhOTYtZjFiYi00MjI0LTkxY2EtMTNjNjMwM2UwNTdlXkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_QL75_UX380_CR0
26,tt0120689,The Green Mile,1999,1264587,8.6,UA,189,"Crime,Drama,Fantasy","nm0000158,nm0003817,nm0001556,nm0001372,nm0000342,nm0005052,nm0001295,nm0006535,nm0005377,nm0001608,nm0218810,nm0165101,nm0001765,nm0339428,nm0107573,nm0006669,nm0587183,nm0850847","Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Dabbs Greer,Eve Brent,William Sadler,Mack Miles,Rai Tasco",nm0001104,Frank Darabont,"Stephen King,Frank Darabont","nm0000175,nm0001104",https://m.media-amazon.com/images/M/MV5BY2VjY2I5ZTktMTFhOC00M2ViLWI4YTAtMjkzOTIwY2ZlZWVkXkEyXkFqcGdeQXVyNTc3MjUzNTI@._V1_QL75_UY562_CR7
27,tt0816692,Interstellar,2014,1743555,8.6,UA,169,"Adventure,Drama,Sci-Fi","nm0000190,nm0004266,nm1567113,nm3237775,nm0000995,nm0001475,nm3154303,nm0654648,nm2180792,nm0565133,nm0410347,nm0095960,nm0004747,nm0001137,nm0000323,nm1408543,nm1577637,nm0000729","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,Ellen Burstyn,John Lithgow,Timothée Chalamet,David Oyelowo,Collette Wolfe,Francis X. McCarthy,Bill Irwin,Andrew Borba,Wes Bentley,William Devane,Michael Caine,David Gyasi,Josh Stewart,Casey Affleck",nm0634240,Christopher Nolan,"Jonathan Nolan,Christopher Nolan","nm0634300,nm0634240",https://m.media-amazon.com/images/M/MV5BMjgxZDI2MjktYjRmMS00ZTU0LWIxMzQtMDkzNjE2NWFhNDk0XkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UY562_CR6
28,tt0076759,Star Wars,1977,1330965,8.6,U,121,"Action,Adventure,Fantasy","nm0000434,nm0000148,nm0000402,nm0000027,nm0001088,nm0000355,nm0048652,nm0562679,nm0001190,nm0114436,nm0292235,nm0701023,nm0567018,nm0125952,nm0377120,nm0493200,nm0353796,nm0458161","Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,Peter Cushing,Anthony Daniels,Kenny Baker,Peter Mayhew,David Prowse,Phil Brown,Shelagh Fraser,Jack Purvis,Alex McCrindle,Eddie Byrne,Drewe Henley,Denis Lawson,Garrick Hagon,Jack Klaff",nm0000184,George Lucas,George Lucas,nm0000184,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_QL75_UX380_CR0
29,tt0103064,Terminator 2: Judgment Day,1991,1073286,8.6,A,137,"Action,Sci-Fi","nm0000216,nm0000157,nm0000411,nm0001598,nm0091286,nm0608012,nm0580924,nm0346003,nm0177528,nm0001280,nm0075359,nm0357696,nm0316480,nm0935297,nm0775623,nm0928630,nm0250218,nm0522027","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen,Joe Morton,S. Epatha Merkerson,Castulo Guerra,Danny Cooksey,Jenette Goldstein,Xander Berkeley,Leslie Hamilton Gearren,Ken Gibbel,Robert Winley,Peter Schrum,Shane Wilder,Michael Edwards,Jared Lounsbery",nm0000116,James Cameron,"James Cameron,William Wisher","nm0000116,nm0936537",https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX380_CR0
30,tt0088763,Back to the Future,1985,1167865,8.5,U,116,"Adventure,Comedy,Sci-Fi","nm0000150,nm0000502,nm0000670,nm0000417,nm0001855,nm0920148,nm0566013,nm0818274,nm0225191,nm0564589,nm0866055,nm0169454,nm0797150,nm0000708,nm0914023,nm0298412,nm0293483,nm0442022","Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Tom Wilson,Claudia Wells,Marc McClure,Wendie Jo Sperber,George DiCenzo,Frances Lee McCain,James Tolkan,J.J. Cohen,Casey Siemaszko,Billy Zane,Harry Waters Jr.,Donald Fullilove,Lisa Freeman,Cristen Kauffman",nm0000709,Robert Zemeckis,"Robert Zemeckis,Bob Gale","nm0000709,nm0301826",https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0
31,tt0245429,Sen to Chihiro no kamikakushi,2001,737358,8.6,U,125,"Animation,Adventure,Family","nm0153738,nm0687189,nm0997115,nm0383708,nm0622412,nm0619822,nm0768005,nm0309107,nm1126340,nm1112144,nm1126978,nm0370632,nm0436639,nm0648777,nm0837420,nm6946829,nm1312191,nm1829293","Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,Mari Natsuki,Takashi Naitô,Yasuko Sawaguchi,Tatsuya Gashûin,Ryûnosuke Kamiki,Yumi Tamai,Yô Ôizumi,Koba Hayashi,Tsunehiko Kamijô,Takehiko Ono,Bunta Sugawara,Shigeru Wakita,Shirô Saitô,Michiko Yamamoto",nm0594503,Hayao Miyazaki,Hayao Miyazaki,nm0594503,https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX380_CR0
32,tt0054215,Psycho,1960,656425,8.5,A,109,"Horror,Mystery,Thriller","nm0000578,nm0001463,nm0587256,nm0001260,nm0000842,nm0570615,nm0643000,nm0007214,nm0386877,nm0853299,nm0878354,nm0026930,nm0590123,nm0020513,nm0045839,nm2146004,nm0141275,nm0211402","Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills,Fletcher Allen,Walter Bacon,Prudence Beers,Kit Carson,Francis De Sales",nm0000033,Alfred Hitchcock,"Joseph Stefano,Robert Bloch","nm0825010,nm0088645",https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX380_CR0
33,tt0253474,The Pianist,2002,809467,8.5,13,150,"Biography,Drama,Music","nm0004778,nm0470981,nm0277975,nm0288976,nm0954076,nm0832380,nm0513520,nm0962577,nm0713469,nm0611148,nm0725956,nm0789338,nm0590372,nm0803944,nm1281253,nm1279616,nm0492458,nm0039784","Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,Michal Zebrowski,Ed Stoppard,Maureen Lipman,Jessica Kate Meyer,Julia Rayner,Wanja Mues,Richard Ridings,Nomi Sharron,Anthony Milner,Lucy Skeaping,Roddy Skeaping,Ben Harlan,Thomas Lawinky,Joachim Paul Assböck",nm0000591,Roman Polanski,"Ronald Harwood,Wladyslaw Szpilman","nm0367838,nm0844262",https://m.media-amazon.com/images/M/MV5BNWY3NDFlNjktM2JlYS00YjI5LWIzMDktZWUxZjEyNTJhNDYzXkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_QL75_UY562_CR7
34,tt0110413,Léon,1994,1132261,8.5,A,110,"Action,Crime,Drama","nm0000606,nm0000198,nm0000204,nm0000732,nm0032216,nm0089112,nm0187199,nm0321798,nm0779685,nm0045937,nm0338746,nm0716408,nm0560593,nm0784262,nm1707797,nm0149987,nm0076306,nm0494069","Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Peter Appel,Willi One Blood,Don Creech,Keith A. Glascoe,Randolph Scott,Michael Badalucco,Ellen Greene,Elizabeth Regen,Carl J. Matusovich,Frank Senger,Lucius Wyatt Cherokee,Eric Challier,Luc Bernard,Maïwenn",nm0000108,Luc Besson,Luc Besson,nm0000108,https://m.media-amazon.com/images/M/MV5BNmNhOTgyYjItOTM0Yy00NTI0LWI4NjUtODQ0YzE3MjA4YTEwXkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_QL75_UY562_CR11
35,tt6751668,Gisaengchung,2019,752365,8.5,A,132,"Comedy,Drama,Thriller","nm0814280,nm1310525,nm1856097,nm6079248,nm6476224,nm7553003,nm4525883,nm3745391,nm7616095,nm10700274,nm4522499,nm10860732,nm11261148,nm10215504,nm11044243,nm11432327,nm9086195,nm11432328","Song Kang-ho,Sun-kyun Lee,Cho Yeo-jeong,Choi Woo-sik,So-dam Park,Lee Jeong-eun,Jang Hye-jin,Park Myeong-hoon,Ji-so Jung,Hyun-jun Jung,Keun-rok Park,Yi-Seo Jung,Jae-myeong Jo,Ik-han Jung,Kyu-baek Kim,Hwang In Kyung,Ahn Seong-Bong,Kim Jin Hyung",nm0094435,Bong Joon Ho,"Bong Joon Ho,Han Jin-won","nm0094435,nm8243301",https://m.media-amazon.com/images/M/MV5BOTgyMWQ0ZWUtN2Q2MS00NmY0LWI3OWMtNjFkMzZlNDZjNTk0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX380_CR0
36,tt0110357,The Lion King,1994,1030401,8.5,U,88,"Animation,Adventure,Drama","nm0000111,nm0000460,nm0000469,nm0000155,nm0000100,nm0129295,nm0191906,nm0347039,nm0446702,nm0001447,nm0494922,nm0001507,nm0754676,nm0801672,nm0001795,nm0919798,nm0146681,nm0243804","Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg,Rowan Atkinson,Niketa Calame-Harris,Jim Cummings,Robert Guillaume,Moira Kelly,Nathan Lane,Zoe Leader,Cheech Marin,Ernie Sabella,Madge Sinclair,Jonathan Taylor Thomas,Frank Welker,Cathy Cavadini,Judi M. Durand","nm0021249,nm0591450","Roger Allers,Rob Minkoff","Irene Mecchi,Jonathan Roberts,Linda Woolverton","nm0575293,nm0731271,nm0941314",https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_QL75_UX380_CR0
37,tt0172495,Gladiator,2000,1461459,8.5,UA,155,"Action,Adventure,Drama","nm0000128,nm0001618,nm0001567,nm0001657,nm0001321,nm0001394,nm0005023,nm0774516,nm0795344,nm0032962,nm0005241,nm0004829,nm0376101,nm0281107,nm0861752,nm0229084,nm0568988,nm0445479","Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris,Derek Jacobi,Djimon Hounsou,David Schofield,John Shrapnel,Tomas Arana,Ralf Moeller,Spencer Treat Clark,David Hemmings,Tommy Flanagan,Sven-Ole Thorsen,Omid Djalili,Nicholas McGaughey,Chris Kell",nm0000631,Ridley Scott,"David Franzoni,John Logan,William Nicholson","nm0291905,nm0517589,nm0629933",https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX380_CR0
38,tt0120586,American History X,1998,1100708,8.5,R,119,"Crime,Drama","nm0001570,nm0000411,nm0000350,nm0000497,nm0839486,nm0000103,nm0000984,nm0001285,nm0005078,nm0750916,nm0868956,nm0181288,nm0808633,nm0529014,nm0812550,nm0539537,nm0004709,nm6783755","Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee,Fairuza Balk,Avery Brooks,Elliott Gould,Stacy Keach,William Russ,Guy Torry,Joe Cortese,Jason Bose Smith,Antonio David Lyons,Alex Sol,Keram Malicki-Sánchez,Giuseppe Andrews,Michelle Christine White",nm0443411,Tony Kaye,David McKenna,nm0571346,https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX380_CR0
39,tt0114814,The Usual Suspects,1995,1064869,8.5,A,106,"Crime,Drama,Mystery","nm0000228,nm0000321,nm0001590,nm0000286,nm0001125,nm0001629,nm0000592,nm0000751,nm0002064,nm0000445,nm0000860,nm0107808,nm0800339,nm0790436,nm0261452,nm0163988,nm0402974,nm0198470","Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,Benicio Del Toro,Kevin Pollak,Pete Postlethwaite,Suzy Amis,Giancarlo Esposito,Dan Hedaya,Paul Bartel,Carl Bressler,Phillipe Simon,Jack Shearer,Christine Estabrook,Clark Gregg,Morgan Hunter,Ken Daly",nm0001741,Bryan Singer,Christopher McQuarrie,nm0003160,https://m.media-amazon.com/images/M/MV5BZDdiNDQ1MTUtYTNkZS00YWVjLTgxYWUtODhmMWYwNDQ0NzU5XkEyXkFqcGdeQXVyNDIyNjA2MTk@._V1_QL75_UX380_CR0
40,tt0407887,The Departed,2006,1292858,8.5,A,151,"Crime,Drama,Thriller","nm0000138,nm0000354,nm0000197,nm0000242,nm0000640,nm0935653,nm0267812,nm0026364,nm0000285,nm0180984,nm0197647,nm0641244,nm0001679,nm0906301,nm0198306,nm2401565,nm0400879,nm0533323","Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin,Kevin Corrigan,James Badge Dale,David O'Hara,Mark Rolston,Robert Wahlberg,Kristen Dalton,Thomas B. Duffy,Richard Hughes,J.C. MacKenzie",nm0000217,Martin Scorsese,"William Monahan,Alan Mak,Felix Chong","nm1184258,nm0538320,nm0159039",https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX380_CR0
41,tt0482571,The Prestige,2006,1299898,8.5,U,130,"Drama,Mystery,Sci-Fi","nm0000288,nm0413168,nm0424060,nm0000323,nm0005305,nm0356017,nm2195817,nm0000309,nm0785227,nm0204425,nm0682063,nm0623762,nm0752699,nm0715953,nm0364807,nm0829685,nm0674052,nm0419633","Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,Piper Perabo,Rebecca Hall,Samantha Mahurin,David Bowie,Andy Serkis,Daniel Davis,Jim Piddock,Christopher Neame,Mark Ryan,Roger Rees,Jamie Harris,Monty Stuart,Ron Perkins,Ricky Jay",nm0634240,Christopher Nolan,"Jonathan Nolan,Christopher Nolan,Christopher Priest","nm0634300,nm0634240,nm1793993",https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX380_CR0
42,tt0034583,Casablanca,1942,561755,8.5,U,102,"Drama,Romance,War","nm0000007,nm0000006,nm0002134,nm0001647,nm0891998,nm0002113,nm0000048,nm0757064,nm0495495,nm0933330,nm0656226,nm0702798,nm0455893,nm0092290,nm0007808,nm0010185,nm0013306,nm3629365","Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois,Abdullah Abbas,Enrique Acosta,Ed Agresti,Arnet Amos",nm0002031,Michael Curtiz,"Julius J. Epstein,Philip G. Epstein,Howard Koch","nm0258493,nm0258525,nm0462321",https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX380_CR0
43,tt1745960,Top Gun: Maverick,2022,182091,8.6,UA,130,"Action,Drama","nm0000129,nm0000124,nm1886602,nm0000174,nm1506981,nm0358316,nm0663174,nm4834815,nm5730649,nm1337350,nm6639989,nm1412974,nm7453477,nm3254274,nm2745297,nm8241861,nm4917623,nm3100463","Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,Bashir Salahuddin,Jon Hamm,Charles Parnell,Monica Barbaro,Lewis Pullman,Jay Ellis,Danny Ramirez,Glen Powell,Jack Schumacher,Manny Jacinto,Kara Wang,Greg Tarzan Davis,Jake Picking,Raymond Lee",nm2676052,Joseph Kosinski,"Jim Cash,Jack Epps Jr.,Peter Craig","nm0143596,nm0258390,nm0185976",https://m.media-amazon.com/images/M/MV5BMTA1NzAzMjQwMjdeQTJeQWpwZ15BbWU4MDcyNDkzMjIx._V1_QL75_UX380_CR0
44,tt2582802,Whiplash,2014,816452,8.5,A,106,"Drama,Music","nm1886602,nm0799777,nm2552034,nm0001663,nm3271473,nm4336119,nm0611889,nm0348515,nm0819320,nm1045739,nm5826958,nm2172460,nm2492243,nm1276956,nm4392192,nm0523061,nm4903282,nm1117946","Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,Austin Stowell,Nate Lang,Chris Mulkey,Damon Gupton,Suanne Spoke,Max Kasch,Charlie Ian,Jayson Blair,Kofi Siriboe,Kavita Patil,C.J. Vana,Tarik Lowe,Tyler Kimball,Rogelio Douglas Jr.",nm3227090,Damien Chazelle,Damien Chazelle,nm3227090,https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY562_CR17
45,tt1675434,The Intouchables,2011,836025,8.5,UA,112,"Biography,Comedy,Drama","nm0167388,nm1082477,nm0494504,nm1109153,nm1525639,nm0597042,nm2031248,nm3994610,nm5511912,nm5511483,nm0644314,nm0196839,nm0139107,nm0024634,nm4552893,nm1049589,nm0221103,nm2173724","François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot,Joséphine de Meaux,Clotilde Mollet,Alba Gaïa Bellugi,Cyril Mendy,Salimata Kamate,Absa Diatou Toure,Grégoire Oestermann,Dominique Daguier,François Caron,Christian Ameri,Thomas Solivérès,Dorothée Brière,Marie-Laure Descoureaux,Émilie Caen","nm0619923,nm0865918","Olivier Nakache,Éric Toledano","Olivier Nakache,Philippe Pozzo di Borgo,Éric Toledano","nm0619923,nm4778840,nm0865918",https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX380_CR0
46,tt0027977,Modern Times,1936,238388,8.5,G,87,"Comedy,Drama,Romance","nm0000122,nm0002104,nm0074788,nm0761866,nm0174682,nm0003424,nm0090008,nm0305087,nm0018685,nm0721637,nm0571901,nm0534259,nm0524306,nm1250355,nm0538984,nm0825624,nm0840339,nm0647013","Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin,Hank Mann,Stanley Blystone,Al Ernest Garcia,Richard Alexander,Cecil Reynolds,Mira McKinney,Murdock MacQuarrie,Wilfred Lucas,Edward LeSaint,Fred Malatesta,Sammy Stein,Juana Sutton,Ted Oliver",nm0000122,Charles Chaplin,Charles Chaplin,nm0000122,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX380_CR0
47,tt0056058,Seppuku,1962,54568,8.6,Not Rated,133,"Action,Drama,Mystery","nm0619938,nm0410968,nm0412615,nm0848533,nm0592756,nm0368049,nm0766225,nm0408343,nm0407030,nm1372205,nm0031837,nm0559581,nm0461983,nm1082958,nm0327104,nm0044469,nm0866736,nm0024197","Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,Masao Mishima,Ichirô Nakatani,Kei Satô,Yoshio Inaba,Hisashi Igawa,Tôru Takeuchi,Yoshirô Aoki,Tatsuo Matsumura,Akiji Kobayashi,Kôichi Hayashi,Ryûtarô Gomi,Jô Azumi,Nakajirô Tomita,Shichisaburô Amatsu",nm0462030,Masaki Kobayashi,"Yasuhiko Takiguchi,Shinobu Hashimoto","nm0847668,nm0368074",https://m.media-amazon.com/images/M/MV5BZjk4NmVkNmItMzBmMS00NDZhLTliNDEtYzEzYzdiZDI1NWRlXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UY562_CR8
48,tt0064116,Once Upon a Time in the West,1968,324490,8.5,U,165,Western,"nm0000020,nm0000314,nm0001012,nm0001673,nm0275213,nm0832375,nm0834754,nm0001181,nm0943978,nm0938231,nm0822034,nm0029074,nm0059879,nm0078044,nm7994173,nm0106394,nm0141434,nm0148755","Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,Gabriele Ferzetti,Paolo Stoppa,Woody Strode,Jack Elam,Keenan Wynn,Frank Wolff,Lionel Stander,Livio Andronico,Salvatore Basile,Aldo Berti,Joseph Bradley,Frank Braña,Marilù Carteny,Saturno Cerra",nm0001466,Sergio Leone,"Sergio Donati,Sergio Leone,Dario Argento","nm0006872,nm0001466,nm0000783",https://m.media-amazon.com/images/M/MV5BY2ZkYzRlN2MtY2Q3OC00OWQwLWE4OTUtODI2ZjgwMmFkNTRhXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UY562_CR8